Image.end,End.Date,Temp TRT,Channel,Chamber,Leaf spp.,End.Length.mm,BWP.end?,Notes
DSC01536,17-Apr-19,0,0A,R050,Rhodo,8.235,N,
DSC01537,17-Apr-19,0,0A,R044,Rhodo,8.784,N,
DSC01538,17-Apr-19,0,0A,R048,Rhodo,8.492,N,
DSC01540,17-Apr-19,0,0C,R017,Rhodo,8.713,N,
DSC01541,17-Apr-19,0,0C,A018,Acer,7.471,N,
DSC01542,17-Apr-19,0,0C,R014,Rhodo,7.848,N,
DSC01543,17-Apr-19,0,0C,R013,Rhodo,7.653,N,
DSC01544,17-Apr-19,0,0C,R019,Rhodo,8.128,N,
DSC01545,17-Apr-19,0,0C,R015,Rhodo,7.878,N,
DSC01546,17-Apr-19,0,0C,R020,Rhodo,7.8,N,
DSC01547,17-Apr-19,0,0C,A019,Acer,8.374,N,
DSC01548,17-Apr-19,0,0C,A020,Acer,7.504,N,
DSC01549,17-Apr-19,0,0C,A015,Acer,7.967,N,
DSC01550,17-Apr-19,0,0C,A014,Acer,8.301,N,
DSC01551,17-Apr-19,0,0C,A017,Acer,6.887,N,
DSC01552,17-Apr-19,0,0C,R018,Rhodo,8.207,N,
DSC01554,17-Apr-19,0,0C,R016,Rhodo,7.572,N,
DSC01555,17-Apr-19,0,0D,A058,Acer,7.795,N,
DSC01556,17-Apr-19,0,0D,A056,Acer,7.078,N,
DSC01557,17-Apr-19,0,0D,A054,Acer,9.573,N,
DSC01558,17-Apr-19,0,0D,A053,Acer,8.397,N,
DSC01559,17-Apr-19,0,0D,A055,Acer,7.218,N,
DSC01560,17-Apr-19,0,0D,A057,Acer,8.355,N,
DSC01561,17-Apr-19,0,0D,A060,Acer,8.078,N,
DSC01564,17-Apr-19,0,0D,R055,Rhodo,10.268,N,
DSC01565,17-Apr-19,0,0D,R057,Rhodo,8.393,N,
DSC01566,17-Apr-19,0,0D,R056,Rhodo,8.17,N,
DSC01567,17-Apr-19,0,0D,R053,Rhodo,8.256,N,
DSC01573,17-Apr-19,0,0D,R060,Rhodo,7.807,N,
DSC01574,17-Apr-19,0,0D,R054,Rhodo,7.55,N,
DSC01575,17-Apr-19,1,1B,R115,Rhodo,8.002,Y,
DSC01576,17-Apr-19,1,1B,A116,Acer,7.799,N,
DSC01577,17-Apr-19,1,1B,A112,Acer,8.135,N,
DSC01579,17-Apr-19,1,1B,A113,Acer,9.226,N,
DSC01580,17-Apr-19,1,1B,A114,Acer,8.312,N,
DSC01581,17-Apr-19,1,1B,A120,Acer,7.854,N,
DSC01583,17-Apr-19,1,1B,R113,Rhodo,8.351,N,
DSC01584,17-Apr-19,1,1B,A117,Acer,8.678,N,
DSC01585,17-Apr-19,1,1B,R118,Rhodo,8.337,N,
DSC01586,17-Apr-19,1,1B,A119,Acer,8.249,N,
DSC01587,17-Apr-19,1,1B,R116,Rhodo,7.123,N,
DSC01588,17-Apr-19,1,1B,R120,Rhodo,8.257,N,
DSC01589,17-Apr-19,1,1B,A118,Acer,9.089,N,remeasured 28 Nov 23
DSC01590,17-Apr-19,1,1B,R114,Rhodo,7.519,N,remeasured 28 Nov 23
DSC01591,17-Apr-19,1,1B,R117,Rhodo,9.23,N,dead but not decomposed and still measurable
DSC01592,17-Apr-19,1,1C,A124,Acer,8.172,N,
DSC01593,17-Apr-19,1,1C,A123,Acer,7.297,N,
DSC01594,17-Apr-19,1,1C,A130,Acer,7.165,N,
DSC01595,17-Apr-19,1,1C,A129,Acer,6.982,N,
DSC01596,17-Apr-19,1,1C,A126,Acer,7.232,N,
DSC01600,17-Apr-19,1,1C,A127,Acer,8.764,N,
DSC01601,17-Apr-19,1,1C,A128,Acer,7.477,N,
DSC01602,17-Apr-19,1,1C,R125,Rhodo,9.532,N,
DSC01603,17-Apr-19,1,1C,R129,Rhodo,6.963,N,
DSC01605,17-Apr-19,1,1C,R130,Rhodo,6.876,N,EXCL
DSC01607,17-Apr-19,1,1C,R126,Rhodo,8.985,N,
DSC01608,17-Apr-19,1,1C,R127,Rhodo,8.738,N,
DSC01609,17-Apr-19,1,1C,R124,Rhodo,8.909,N,
DSC01610,17-Apr-19,1,1C,R123,Rhodo,7.255,N,
DSC01613,17-Apr-19,0,0B,A154,Acer,7.947,N,
DSC01614,17-Apr-19,0,0B,A160,Acer,9.329,N,
DSC01615,17-Apr-19,0,0B,A158,Acer,8.789,N,
DSC01616,17-Apr-19,0,0B,A153,Acer,8.442,N,remeasured 28 Nov 23
DSC01617,17-Apr-19,0,0B,A156,Acer,8.966,N,
DSC01618,17-Apr-19,0,0B,A155,Acer,9.376,N,
DSC01619,17-Apr-19,0,0B,A159,Acer,8.716,N,
DSC01620,17-Apr-19,0,0B,A157,Acer,8.792,N,
DSC01621,17-Apr-19,0,0B,R154,Rhodo,8.815,N,
DSC01622,17-Apr-19,0,0B,R157,Rhodo,7.913,N,EXCL
DSC01623,17-Apr-19,0,0B,R155,Rhodo,7.494,N,EXCL
DSC01624,17-Apr-19,0,0B,R156,Rhodo,9.798,N,
DSC01625,17-Apr-19,0,0B,R153,Rhodo,7.899,N,
DSC01626,17-Apr-19,0,0B,R160,Rhodo,8.496,N,
DSC01627,17-Apr-19,0,0B,R158,Rhodo,7.84,N,EXCL
DSC01628,17-Apr-19,0,0B,R159,Rhodo,7.985,N,
DSC01630,17-Apr-19,1,1A,R093,Rhodo,7.938,N,
DSC01631,17-Apr-19,1,1A,R094,Rhodo,8.36,N,
DSC01632,17-Apr-19,1,1A,R097,Rhodo,8.99,N,
DSC01633,17-Apr-19,1,1A,R100,Rhodo,9.392,N,
DSC01635,17-Apr-19,1,1A,R098,Rhodo,7.685,N,
DSC01636,17-Apr-19,1,1A,R099,Rhodo,7.766,N,
DSC01637,17-Apr-19,1,1A,R095,Rhodo,6.911,N,
DSC01638,17-Apr-19,1,1A,A098,Acer,7.927,N,
DSC01639,17-Apr-19,1,1A,A093,Acer,7.613,N,
DSC01640,17-Apr-19,1,1A,A096,Acer,8.429,N,
DSC01641,17-Apr-19,1,1A,A094,Acer,7.32,N,
DSC01642,17-Apr-19,1,1A,A095,Acer,6.928,N,EXCL
DSC01643,17-Apr-19,1,1A,A097,Acer,8.222,N,
DSC01645,17-Apr-19,1,1D,R197,Rhodo,7.044,N,EXCL
DSC01646,17-Apr-19,1,1D,R198,Rhodo,8.149,N,
DSC01647,17-Apr-19,1,1D,R199,Rhodo,7.994,N,
DSC01648,17-Apr-19,1,1D,R196,Rhodo,8.012,N,
DSC01649,17-Apr-19,1,1D,R193,Rhodo,8.065,N,
DSC01650,17-Apr-19,1,1D,R194,Rhodo,8.75,N,
DSC01651,17-Apr-19,1,1D,A193,Acer,9.225,N,
DSC01653,17-Apr-19,1,1D,A197,Acer,9.56,N,
DSC01654,17-Apr-19,1,1D,A195,Acer,9.759,N,
DSC01655,17-Apr-19,1,1D,A196,Acer,8.74,N,
DSC01656,17-Apr-19,1,1D,A200,Acer,8.007,N,
DSC01657,17-Apr-19,1,1D,A198,Acer,7.875,N,
DSC01658,17-Apr-19,1,1D,A199,Acer,8.699,N,
