trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT1,2019-03-12,2019-03-20,8,4,4D,A021,A,microbes,3,1.7198,1.864,0.3562,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,4,4D,A022,A,microbes,3,1.7337,1.8598,0.3754,0.4092,0.9938,1.0249,1.0005,Microbes
CT1,2019-03-12,2019-03-20,8,4,4D,A023,A,bug,3,1.8171,1.9308,0.4023,0.4305,0.9719,0.9965,0.9762,
CT1,2019-03-12,2019-03-20,8,4,4D,A024,A,bug,3,1.6944,1.8075,0.3909,0.4228,1.2489,1.2744,1.2524,
CT1,2019-03-12,2019-03-20,8,4,4D,A025,A,bug,3,1.6282,1.8136,0.4093,0.4561,0.9989,1.0397,1.0049,
CT1,2019-03-12,2019-03-20,8,4,4D,A026,A,bug,3,1.7898,1.9345,0.3633,0.4017,0.9788,1.0154,0.9864,
CT1,2019-03-12,2019-03-20,8,3,3D,A031,A,microbes,3,1.7005,1.7611,0.3716,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,3,3D,A032,A,microbes,3,1.7519,1.9085,0.3794,0.4146,1.0013,1.0334,1.0077,Microbes
CT1,2019-03-12,2019-03-20,8,3,3D,A033,A,bug,3,1.8469,1.9908,0.3898,0.4142,1.1474,1.1713,1.1519,
CT1,2019-03-12,2019-03-20,8,3,3D,A034,A,bug,3,1.6805,1.8431,0.4162,0.4459,0.978,1.0044,0.9826,
CT1,2019-03-12,2019-03-20,8,3,3D,A035,A,bug,3,1.7022,1.8227,0.3502,0.372,0.9639,0.9817,0.9668,
CT1,2019-03-12,2019-03-20,8,3,3D,A036,A,bug,3,1.6784,1.8004,0.3437,0.364,0.9686,0.9877,0.9721,
CT1,2019-03-12,2019-03-20,8,0,0A,A041,A,microbes,3,1.8471,1.9764,0.4296,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0A,A042,A,microbes,3,1.7679,1.8508,0.4374,0.4617,0.9722,0.9919,0.9767,Microbes
CT1,2019-03-12,2019-03-20,8,0,0A,A043,A,bug,3,1.7761,1.9,0.3784,0.4085,1.218,1.2458,1.2276,
CT1,2019-03-12,2019-03-20,8,0,0A,A044,A,bug,3,1.8783,1.9759,0.4344,0.4595,0.9806,1.0008,0.9848,
CT1,2019-03-12,2019-03-20,8,0,0A,A045,A,bug,3,1.7349,1.8506,0.4237,0.4513,0.9787,0.9992,0.9847,
CT1,2019-03-12,2019-03-20,8,0,0A,A046,A,bug,3,1.8602,1.9935,0.4309,0.4664,1.1258,1.1505,1.1321,
CT1,2019-03-12,2019-03-20,8,0,0D,A051,A,microbes,2,1.8096,1.8991,0.403,0.4061,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0D,A052,A,microbes,3,1.8503,1.9752,0.4499,0.4874,0.9936,1.0234,1.0018,Microbes
CT1,2019-03-12,2019-03-20,8,0,0D,A053,A,bug,3,1.8296,1.9951,0.4225,0.46,1.0121,1.0461,1.0182,
CT1,2019-03-12,2019-03-20,8,0,0D,A054,A,bug,3,1.8055,1.9749,0.4279,0.4603,1.0225,1.0501,1.0277,
CT1,2019-03-12,2019-03-20,8,0,0D,A055,A,bug,3,1.7139,1.8115,0.4261,0.4499,1.0165,1.0348,1.0199,
CT1,2019-03-12,2019-03-20,8,0,0D,A056,A,bug,3,1.72,1.8192,0.5176,NA,0.9986,1.0156,1.0021,
CT1,2019-03-12,2019-03-20,8,2,2B,A061,A,microbes,3,1.8207,1.9456,0.4514,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2B,A062,A,microbes,3,1.8298,1.973,0.3863,NA,1.2386,1.268,1.2437,Microbes
CT1,2019-03-12,2019-03-20,8,2,2B,A063,A,bug,3,1.7551,1.8483,0.4299,0.4531,1.0076,1.0247,1.0108,
CT1,2019-03-12,2019-03-20,8,2,2B,A064,A,bug,3,1.775,1.8736,0.4403,0.4665,0.973,0.9935,0.9762,
CT1,2019-03-12,2019-03-20,8,2,2B,A065,A,bug,3,1.876,1.9711,0.4157,0.4314,0.971,0.983,0.9734,
CT1,2019-03-12,2019-03-20,8,2,2B,A066,A,bug,3,1.8505,1.9581,0.4148,0.445,1.2329,1.256,1.2387,
CT1,2019-03-12,2019-03-20,8,3,3A,A071,A,microbes,3,1.591,1.7,0.4092,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,3,3A,A072,A,microbes,3,1.6715,1.8007,0.4404,0.4728,1.0051,1.0319,1.0101,Microbes
CT1,2019-03-12,2019-03-20,8,3,3A,A073,A,bug,3,1.7128,1.8378,0.4187,0.448,0.9759,0.9977,0.9811,
CT1,2019-03-12,2019-03-20,8,3,3A,A074,A,bug,3,1.7801,1.8726,0.4127,0.4313,0.9963,1.0052,0.9985,
CT1,2019-03-12,2019-03-20,8,3,3A,A075,A,bug,3,1.7659,1.9049,0.4418,0.4697,0.9863,1.0102,0.9909,
CT1,2019-03-12,2019-03-20,8,3,3A,A076,A,bug,3,1.7835,1.9154,0.4394,0.4685,1.0023,1.0265,1.0066,
CT1,2019-03-12,2019-03-20,8,2,2C,A081,A,microbes,3,1.7026,1.8681,0.313,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2C,A082,A,microbes,3,1.7816,1.982,0.3228,0.3698,0.977,1.0192,0.9874,Microbes
CT1,2019-03-12,2019-03-20,8,2,2C,A083,A,bug,3,1.7133,1.9304,0.4273,0.4777,1.0104,1.0514,1.0174,
CT1,2019-03-12,2019-03-20,8,2,2C,A084,A,bug,3,1.6959,1.9103,0.4022,0.4594,0.9758,1.0228,0.9854,
CT1,2019-03-12,2019-03-20,8,2,2C,A085,A,bug,3,1.7664,1.9536,0.472,0.5173,1.0733,1.1098,1.0792,
CT1,2019-03-12,2019-03-20,8,2,2C,A086,A,bug,3,1.8343,2.011,0.4118,0.4469,1.02,1.0517,1.0269,
CT1,2019-03-12,2019-03-21,9,1,1A,A091,A,microbes,2,1.6541,1.7235,0.4108,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,1,1A,A092,A,microbes,2,1.7248,1.8109,0.4156,0.4422,1.0023,1.0197,1.0062,Microbes
CT1,2019-03-12,2019-03-21,9,1,1A,A093,A,bug,3,1.8184,1.9765,0.4466,0.4759,0.9922,1.0174,0.9985,
CT1,2019-03-12,2019-03-21,9,1,1A,A094,A,bug,3,1.8062,1.9299,0.3861,0.4095,1.0315,1.053,1.036,
CT1,2019-03-12,2019-03-21,9,1,1A,A095,A,bug,3,1.7633,1.8884,0.3509,0.3693,1.0143,1.0306,1.0169,
CT1,2019-03-12,2019-03-21,9,1,1A,A096,A,bug,3,1.727,1.8303,0.3877,0.4068,0.9741,0.9908,0.9784,
CT1,2019-03-12,2019-03-20,8,4,4C,A101,A,microbes,2,1.7098,1.7681,0.3034,0.3067,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,4,4C,A102,A,microbes,2,1.7792,1.823,0.3839,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,4,4C,A103,A,bug,3,1.7306,1.8404,0.4133,0.435,0.969,0.9891,0.972,
CT1,2019-03-12,2019-03-20,8,4,4C,A104,A,bug,3,1.923,2.0308,0.3514,0.3741,0.983,1.002,0.9874,
CT1,2019-03-12,2019-03-20,8,4,4C,A105,A,bug,3,1.8982,2.0222,0.3655,0.3959,0.9943,1.0181,0.9976,
CT1,2019-03-12,2019-03-20,8,4,4C,A106,A,bug,3,1.9765,2.0728,0.5023,0.5244,1.0048,1.0221,1.0068,
CT1,2019-03-12,2019-03-21,9,1,1B,A111,A,microbes,3,1.6854,1.7647,0.4515,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,1,1B,A112,A,microbes,3,1.7644,1.8421,0.3971,0.4156,0.9906,1.0056,0.9943,Microbes
CT1,2019-03-12,2019-03-21,9,1,1B,A113,A,bug,3,1.8905,2.0711,0.4581,0.4894,1.247,1.2759,1.2528,
CT1,2019-03-12,2019-03-21,9,1,1B,A114,A,bug,3,1.6516,1.7761,0.3111,0.3355,1.0147,1.0375,1.02,
CT1,2019-03-12,2019-03-21,9,1,1B,A115,A,bug,3,1.6697,1.8097,0.3511,0.3787,1.0862,1.1121,1.0906,
CT1,2019-03-12,2019-03-21,9,1,1B,A116,A,bug,3,1.7482,1.888,0.4127,0.4425,0.9886,1.0128,0.9944,
CT1,2019-03-12,2019-03-21,9,1,1C,A121,A,microbes,3,1.8431,1.9283,0.3678,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,1,1C,A122,A,microbes,3,1.8026,1.8754,0.3557,0.3859,1.2265,1.2429,1.2306,Microbes
CT1,2019-03-12,2019-03-21,9,1,1C,A123,A,bug,3,1.6894,1.8627,0.4991,0.527,0.9899,1.0153,0.999,
CT1,2019-03-12,2019-03-21,9,1,1C,A124,A,bug,3,1.7814,1.8962,0.4216,0.4461,0.9699,0.9891,0.9727,
CT1,2019-03-12,2019-03-21,9,1,1C,A125,A,bug,3,1.7045,1.8243,0.3682,0.3912,0.9815,1.0029,0.9866,
CT1,2019-03-12,2019-03-21,9,1,1C,A126,A,bug,3,1.7183,1.8384,0.4092,0.4385,0.9816,1.0003,0.985,
CT1,2019-03-12,2019-03-21,9,3,3B,A131,A,microbes,3,1.8398,1.9208,0.4026,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,3,3B,A132,A,microbes,3,1.7995,1.7582,0.3446,0.3646,0.9953,1.0058,0.9976,Microbes -- exclude?
CT1,2019-03-12,2019-03-21,9,3,3B,A133,A,bug,3,1.8375,2.0265,0.4377,0.4773,0.9745,1.0106,0.9815,
CT1,2019-03-12,2019-03-21,9,3,3B,A134,A,bug,3,1.8139,1.9722,0.3501,0.3777,0.9849,1.0097,0.9889,
CT1,2019-03-12,2019-03-21,9,3,3B,A135,A,bug,3,1.7435,1.8618,0.3601,0.3828,0.9843,1.0044,0.9891,
CT1,2019-03-12,2019-03-21,9,3,3B,A136,A,bug,3,1.7464,1.9291,0.4215,0.4483,0.9914,1.0157,0.9962,
CT1,2019-03-12,2019-03-21,9,4,4B,A141,A,microbes,3,1.9417,2.0505,0.358,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,4,4B,A142,A,microbes,3,1.8341,1.9076,0.4095,0.4249,0.9897,1.0031,0.9923,Microbes
CT1,2019-03-12,2019-03-21,9,4,4B,A143,A,bug,3,1.7861,1.9188,0.389,0.412,0.9667,0.9871,0.972,
CT1,2019-03-12,2019-03-21,9,4,4B,A144,A,bug,3,1.8271,1.9696,0.405,0.4455,0.9742,1.0081,0.98,
CT1,2019-03-12,2019-03-21,9,4,4B,A145,A,bug,3,1.6824,1.8233,0.4165,0.4439,0.9762,0.9996,0.9807,
CT1,2019-03-13,2019-03-21,8,4,4B,A146,A,bug,3,1.8435,1.9808,0.4487,0.4615,0.99,1.0008,0.992,
CT1,2019-03-13,2019-03-21,8,0,0B,A151,A,microbes,3,1.8965,1.9464,0.3504,NA,NA,NA,NA,
CT1,2019-03-13,2019-03-21,8,0,0B,A152,A,microbes,3,1.6551,1.7164,0.3384,0.3574,0.9688,0.979,0.9708,
CT1,2019-03-13,2019-03-21,8,0,0B,A153,A,bug,3,1.6761,1.7777,0.3461,0.3615,1.0134,1.0276,1.0163,
CT1,2019-03-13,2019-03-21,8,0,0B,A154,A,bug,3,1.8219,1.8278,0.3411,0.3673,0.9785,1.0009,0.9836,
CT1,2019-03-13,2019-03-21,8,0,0B,A155,A,bug,3,1.7026,1.834,0.3796,0.4092,0.9664,0.99,0.9708,
CT1,2019-03-13,2019-03-21,8,0,0B,A156,A,bug,3,1.8993,2.0113,0.4113,0.4359,1.2269,1.2474,1.2305,
CT1,2019-03-13,2019-03-21,8,3,3C,A161,A,microbes,3,1.8334,1.924,0.4279,NA,NA,NA,NA,
CT1,2019-03-13,2019-03-21,8,3,3C,A162,A,microbes,3,1.8105,1.8835,0.3603,0.3849,0.9771,0.9978,0.9803,
CT1,2019-03-13,2019-03-21,8,3,3C,A163,A,bug,3,1.785,1.9359,0.3092,0.3363,0.9816,1.0079,0.9863,
CT1,2019-03-13,2019-03-21,8,3,3C,A164,A,bug,3,1.8727,2.0421,0.3635,0.3935,0.996,1.023,1.0009,
CT1,2019-03-13,2019-03-21,8,3,3C,A165,A,bug,3,1.7374,1.8713,0.2953,0.3247,1.0251,1.053,1.0291,
CT1,2019-03-13,2019-03-21,8,3,3C,A166,A,bug,3,1.8193,1.9935,0.4118,0.4463,1.0115,1.0382,1.0176,
CT1,2019-03-13,2019-03-21,8,4,4A,A171,A,microbes,3,1.7134,1.8059,0.4017,NA,NA,NA,NA,
CT1,2019-03-13,2019-03-21,8,4,4A,A172,A,microbes,3,1.6608,1.8139,0.4705,0.5064,0.9606,0.9907,0.9654,
CT1,2019-03-13,2019-03-21,8,4,4A,A173,A,bug,3,1.7154,2.0076,0.3852,0.4426,1.0347,1.0878,1.0452,
CT1,2019-03-13,2019-03-21,8,4,4A,A174,A,bug,3,1.7373,1.9298,0.4487,0.5016,1.0013,1.0465,1.0079,
CT1,2019-03-13,2019-03-21,8,4,4A,A175,A,bug,3,1.8456,2.0842,0.3758,0.435,0.9752,1.0262,0.9848,
CT1,2019-03-13,2019-03-21,8,4,4A,A176,A,bug,3,1.7086,1.9672,0.4368,0.4923,1.0999,1.1445,1.1089,
CT1,2019-03-13,2019-03-21,8,2,2D,A181,A,microbes,2,1.731,1.7853,0.3503,NA,NA,NA,NA,
CT1,2019-03-13,2019-03-21,8,2,2D,A182,A,microbes,3,1.7585,1.8288,0.3814,0.399,1.0112,1.0216,1.0132,
CT1,2019-03-13,2019-03-21,8,2,2D,A183,A,bug,3,1.7751,1.8231,0.4143,0.4517,1.0363,1.0671,1.0408,
CT1,2019-03-13,2019-03-21,8,2,2D,A184,A,bug,3,1.7055,1.8593,0.4619,0.4916,0.9776,1.002,0.982,
CT1,2019-03-13,2019-03-21,8,2,2D,A185,A,bug,3,1.7393,1.8703,0.4592,0.4834,1.0163,1.0391,1.0197,
CT1,2019-03-13,2019-03-21,8,2,2D,A186,A,bug,3,1.7942,1.9275,0.4507,0.4776,0.9938,1.0173,0.9984,
CT1,2019-03-13,2019-03-21,8,1,1D,A191,A,microbes,2,1.7481,1.8124,0.3586,NA,NA,NA,NA,
CT1,2019-03-13,2019-03-21,8,1,1D,A192,A,microbes,3,1.7598,1.8517,0.3688,0.3885,0.9861,1.0048,0.9894,
CT1,2019-03-13,2019-03-21,8,1,1D,A193,A,bug,3,1.8649,2.0487,0.4603,0.5033,0.9647,1.0036,0.9717,
CT1,2019-03-13,2019-03-21,8,1,1D,A194,A,bug,3,1.6883,1.872,0.3959,0.4375,0.9756,1.0157,0.9815,
CT1,2019-03-13,2019-03-21,8,1,1D,A195,A,bug,3,1.7281,1.8824,0.4244,0.4595,1.0167,1.0437,1.0222,
CT1,2019-03-13,2019-03-21,8,1,1D,A196,A,bug,3,1.7817,1.9221,0.3931,0.4164,0.9791,1.0004,0.9827,
CT1,2019-03-12,2019-03-20,8,2,2A,R001,R,microbes,2,1.8124,2.2117,0.3884,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2A,R002,R,microbes,2,1.6831,2.0583,0.4758,0.5826,1.0077,1.1118,1.0169,Microbes
CT1,2019-03-12,2019-03-20,8,2,2A,R003,R,bug,2,1.7099,1.986,0.4044,0.4885,1.0151,1.0896,1.0204,
CT1,2019-03-12,2019-03-20,8,2,2A,R004,R,bug,2,1.8385,2.0378,0.387,0.4506,1.0926,1.1528,1.0972,
CT1,2019-03-12,2019-03-20,8,2,2A,R005,R,bug,2,1.6291,1.8541,0.4593,0.5276,1.1158,1.177,1.1219,
CT1,2019-03-12,2019-03-20,8,2,2A,R006,R,bug,2,1.9272,2.2138,0.4059,0.485,0.9816,1.0539,0.9897,
CT1,2019-03-12,2019-03-20,8,2,2A,R007,R,bug,2,1.6147,1.8231,0.3553,0.4184,1.1411,1.1999,1.1462,
CT1,2019-03-12,2019-03-20,8,2,2A,R008,R,bug,2,1.738,2.0345,0.4261,0.5242,1.1005,1.1931,1.1084,
CT1,2019-03-12,2019-03-20,8,2,2A,R009,R,bug,2,1.643,2.008,0.419,0.5184,1.0038,1.0977,1.0129,
CT1,2019-03-12,2019-03-20,8,2,2A,R010,R,bug,2,1.7489,2.0276,0.3719,0.448,1.1233,1.1946,1.1282,
CT1,2019-03-12,2019-03-20,8,0,0C,R011,R,microbes,2,1.7081,1.9691,0.3058,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0C,R012,R,microbes,2,1.8535,2.0172,0.3966,0.4494,0.9808,1.0294,0.9857,Microbes
CT1,2019-03-12,2019-03-20,8,0,0C,R013,R,bug,2,1.6562,1.7683,0.4654,0.4989,1.133,1.1622,1.1349,
CT1,2019-03-12,2019-03-20,8,0,0C,R014,R,bug,2,1.6992,1.9252,0.5588,0.6231,0.9702,1.0314,0.9736,
CT1,2019-03-12,2019-03-20,8,0,0C,R015,R,bug,2,1.7575,1.9047,0.346,0.3902,1.0076,1.0486,1.0111,
CT1,2019-03-12,2019-03-20,8,0,0C,R016,R,bug,2,1.7032,1.9735,0.4448,0.5237,1.1253,1.2006,1.1303,
CT1,2019-03-12,2019-03-20,8,4,4D,R021,R,microbes,2,1.8273,2.052,0.3707,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,4,4D,R022,R,microbes,2,1.715,1.8499,0.3822,0.4439,1.0249,1.0844,1.0291,Microbes
CT1,2019-03-12,2019-03-20,8,4,4D,R023,R,bug,2,1.7489,2.0186,0.4123,0.4921,1.032,1.1098,1.0363,
CT1,2019-03-12,2019-03-20,8,4,4D,R024,R,bug,2,1.7652,2.0893,0.4136,0.5027,1.0056,1.092,1.0111,
CT1,2019-03-12,2019-03-20,8,4,4D,R025,R,bug,2,1.5668,1.849,0.3603,0.4536,1.0676,1.1586,1.0735,
CT1,2019-03-12,2019-03-20,8,4,4D,R026,R,bug,2,1.8847,2.16,0.2914,0.3705,0.9766,1.0544,0.9825,
CT1,2019-03-12,2019-03-20,8,3,3D,R031,R,microbes,2,1.6578,1.9109,0.4779,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,3,3D,R032,R,microbes,2,1.7293,1.8494,0.4329,0.4672,1.0045,1.0367,1.007,Microbes
CT1,2019-03-12,2019-03-20,8,3,3D,R033,R,bug,2,1.7349,2.007,0.38,0.4572,0.9976,1.0706,1.0028,
CT1,2019-03-12,2019-03-20,8,3,3D,R034,R,bug,2,1.8048,1.9307,0.3755,0.4257,0.9875,1.0203,0.9903,
CT1,2019-03-12,2019-03-20,8,3,3D,R035,R,bug,2,1.7875,2.0296,0.3723,0.4432,0.9968,1.0599,1.0008,
CT1,2019-03-12,2019-03-20,8,3,3D,R036,R,bug,2,1.8291,1.9588,0.4231,0.4664,1.111,1.1443,1.1126,
CT1,2019-03-12,2019-03-20,8,0,0A,R041,R,microbes,2,1.7558,1.9115,0.4332,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0A,R042,R,microbes,2,1.838,1.9567,0.4171,0.4639,1.1082,1.1459,1.1122,Microbes
CT1,2019-03-12,2019-03-20,8,0,0A,R043,R,bug,2,1.6853,1.8495,0.535,0.589,1.0037,1.0516,1.0072,
CT1,2019-03-12,2019-03-20,8,0,0A,R044,R,bug,2,1.6325,1.7818,0.4523,0.5062,0.9826,1.022,0.986,
CT1,2019-03-12,2019-03-20,8,0,0A,R045,R,bug,2,1.8593,2.0182,0.4709,0.5224,0.9664,1.0128,0.9703,
CT1,2019-03-12,2019-03-20,8,0,0A,R046,R,bug,2,1.7105,1.8481,0.3884,0.4357,1.135,1.1764,1.1389,
CT1,2019-03-12,2019-03-20,8,0,0D,R051,R,microbes,2,1.7989,1.9988,0.4231,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,0,0D,R052,R,microbes,2,1.7023,1.8871,0.427,0.4851,0.9749,1.026,0.9807,Microbes
CT1,2019-03-12,2019-03-20,8,0,0D,R053,R,bug,2,1.6395,1.8692,0.4204,NA,1.1117,1.173,1.116,
CT1,2019-03-12,2019-03-20,8,0,0D,R054,R,bug,2,1.7172,1.9435,0.374,0.436,1.011,1.0709,1.0155,
CT1,2019-03-12,2019-03-20,8,0,0D,R055,R,bug,2,1.7817,2.0259,0.3971,0.4895,1.0042,1.0794,1.0107,
CT1,2019-03-12,2019-03-20,8,0,0D,R056,R,bug,2,1.7902,NA,0.4334,0.5235,1.2331,1.3086,1.24,
CT1,2019-03-12,2019-03-20,8,2,2B,R061,R,microbes,2,1.7494,1.8914,0.3994,0.3996,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2B,R062,R,microbes,2,1.8176,1.9473,0.3945,0.4197,1.0205,1.0598,1.0239,Microbes
CT1,2019-03-12,2019-03-20,8,2,2B,R063,R,bug,2,1.739,1.9089,0.45,0.5245,1.0167,1.0766,1.0212,
CT1,2019-03-12,2019-03-20,8,2,2B,R064,R,bug,2,1.785,2.044,0.4239,0.5083,0.9662,1.0408,0.9711,
CT1,2019-03-12,2019-03-20,8,2,2B,R065,R,bug,2,1.7791,2.0866,0.4197,0.5204,1.243,1.3322,1.2513,
CT1,2019-03-12,2019-03-20,8,2,2B,R066,R,bug,2,1.7367,1.992,0.3818,0.4582,1.0924,1.1637,1.0969,
CT1,2019-03-12,2019-03-20,8,3,3A,R071,R,microbes,2,1.738,1.8927,0.4253,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,3,3A,R072,R,microbes,2,1.7004,1.9423,0.3259,0.4012,0.9966,1.0683,1.0046,Microbes
CT1,2019-03-12,2019-03-20,8,3,3A,R073,R,bug,2,1.7799,2.1008,0.3564,0.4443,1.001,1.0825,1.0081,
CT1,2019-03-12,2019-03-20,8,3,3A,R074,R,bug,2,1.8808,2.1039,0.3675,0.4386,1.0142,1.081,1.0191,
CT1,2019-03-12,2019-03-20,8,3,3A,R075,R,bug,2,1.8475,2.088,0.4215,0.4929,1.0284,1.0921,1.0319,
CT1,2019-03-12,2019-03-20,8,3,3A,R076,R,bug,2,1.7878,2.0336,0.3953,0.4568,0.9712,1.0307,0.9756,
CT1,2019-03-12,2019-03-20,8,2,2C,R081,R,microbes,2,1.6468,1.9656,0.3909,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,2,2C,R082,R,microbes,2,1.7555,1.903,0.3029,0.3482,0.9706,1.013,0.9741,Microbes
CT1,2019-03-12,2019-03-20,8,2,2C,R083,R,bug,2,1.7731,2.0414,0.2828,0.3593,1.116,1.1907,1.1213,
CT1,2019-03-12,2019-03-20,8,2,2C,R084,R,bug,2,1.7559,1.9613,0.3987,0.4664,0.9823,1.0424,0.9877,
CT1,2019-03-12,2019-03-20,8,2,2C,R085,R,bug,2,1.788,2.0297,0.445,0.5218,0.9993,1.0704,1.0038,
CT1,2019-03-12,2019-03-20,8,2,2C,R086,R,bug,2,1.8807,2.2743,0.2789,0.3861,0.9929,1.0982,1.0001,
CT1,2019-03-12,2019-03-21,9,1,1A,R091,R,microbes,2,1.7673,1.9052,0.3062,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,1,1A,R092,R,microbes,2,1.6393,1.7661,0.4112,0.4529,1.1416,1.18,1.1452,Microbes
CT1,2019-03-12,2019-03-21,9,1,1A,R093,R,bug,2,1.7664,2.0463,0.4265,0.5081,0.9811,1.0585,0.9862,
CT1,2019-03-12,2019-03-21,9,1,1A,R094,R,bug,2,1.7092,1.9794,0.3702,0.4555,0.9785,1.0576,0.9855,
CT1,2019-03-12,2019-03-21,9,1,1A,R095,R,bug,2,1.6968,1.9284,0.4268,0.5011,1.1095,1.1816,1.1149,
CT1,2019-03-12,2019-03-21,9,1,1A,R096,R,bug,2,1.7389,1.9014,0.4141,0.4651,0.9788,1.0264,0.9833,
CT1,2019-03-12,2019-03-20,8,4,4C,R101,R,microbes,2,1.8066,1.9979,0.4637,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-20,8,4,4C,R102,R,microbes,2,1.8045,2.0691,0.4485,0.5264,0.9803,1.0547,0.9855,Microbes
CT1,2019-03-12,2019-03-20,8,4,4C,R103,R,bug,2,1.7451,1.9329,0.4269,0.4887,0.9988,1.0501,1.0027,
CT1,2019-03-12,2019-03-20,8,4,4C,R104,R,bug,2,1.6537,1.857,0.376,0.4334,1.0006,1.0541,1.0029,
CT1,2019-03-12,2019-03-20,8,4,4C,R105,R,bug,2,1.675,2.0075,0.3728,0.4657,1.1125,1.1991,1.1172,
CT1,2019-03-12,2019-03-20,8,4,4C,R106,R,bug,2,1.8343,2.073,0.4622,0.5455,0.9842,1.0582,0.9917,
CT1,2019-03-12,2019-03-21,9,1,1B,R111,R,microbes,2,1.8148,1.9587,0.4309,NA,NA,NA,NA,Microbes
CT1,2019-03-12,2019-03-21,9,1,1B,R112,R,microbes,2,1.7164,1.9155,0.3939,0.4594,0.9653,1.027,0.9698,Microbes
