Image,Beg.Date,Days.in.expt,Temp TRT,Channel,Chamber,Leaf spp.,Beg.Length.mm,BWP.beg?,Notes
DSC00922,12-Mar-19,36,0,0C,R013,R,8.124,N,
DSC00923,12-Mar-19,36,0,0C,R014,R,7.618,N,
DSC00924,12-Mar-19,36,0,0C,R015,R,7.713,N,
DSC00926,12-Mar-19,36,0,0C,R016,R,7.757,N,
DSC00927,12-Mar-19,36,0,0C,R017,R,8.638,N,
DSC00928,12-Mar-19,36,0,0C,R018,R,7.967,N,
DSC00929,12-Mar-19,36,0,0C,R019,R,7.73,N,
DSC00930,12-Mar-19,36,0,0C,R020,R,7.676,N ,
DSC00931,12-Mar-19,36,4,4D,A023,A,8.378,N,
DSC00932,12-Mar-19,36,4,4D,A024,A,7.138,N,
DSC00933,12-Mar-19,36,4,4D,A025,A,8.273,N,
DSC00934,12-Mar-19,36,4,4D,A026,A,8.081,N,
DSC00936,12-Mar-19,36,4,4D,A027,A,7.783,N,
DSC00938,12-Mar-19,36,4,4D,A028,A,8.449,N,
DSC00939,12-Mar-19,36,4,4D,A029,A,7.745,N,
DSC00940,12-Mar-19,36,4,4D,A030,A,7.882,N,
DSC00941,12-Mar-19,36,4,4D,R023,R,7.582,N,
DSC00942,12-Mar-19,36,4,4D,R024,R,7.577,N,
DSC00943,12-Mar-19,36,4,4D,R025,R,8.474,N,
DSC00945,12-Mar-19,36,4,4D,R026,R,9.308,N,
DSC00946,12-Mar-19,36,4,4D,R027,R,8.417,N,
DSC00947,12-Mar-19,36,4,4D,R028,R,8.639,N,
DSC00948,12-Mar-19,36,4,4D,R029,R,8.27,N,
DSC00950,12-Mar-19,36,4,4D,R030,R,7.46,N,
DSC00951,12-Mar-19,36,3,3D,A033,A,8.869,N,
DSC00952,12-Mar-19,36,3,3D,A034,A,8.242,N,
DSC00953,12-Mar-19,36,3,3D,A035,A,7.638,N,
DSC00955,12-Mar-19,36,3,3D,A036,A,8.402,N,
DSC00957,12-Mar-19,36,3,3D,A037,A,7.768,N,
DSC00959,12-Mar-19,36,3,3D,A038,A,9.046,N,
DSC00960,12-Mar-19,36,3,3D,A039,A,8.803,N,
DSC00961,12-Mar-19,36,3,3D,A040,A,7.891,N,
DSC00962,12-Mar-19,36,3,3D,R033,R,9.172,N,
DSC00963,12-Mar-19,36,3,3D,R034,R,8.851,N,
DSC00965,12-Mar-19,36,3,3D,R035,R,8.224,N,
DSC00967,12-Mar-19,36,3,3D,R036,R,7.986,N,
DSC00968,12-Mar-19,36,3,3D,R037,R,7.751,N,
DSC00969,12-Mar-19,36,3,3D,R038,R,7.43,N,
DSC00970,12-Mar-19,36,3,3D,R039,R,8.127,N,
DSC00971,12-Mar-19,36,3,3D,R040,R,8.335,N,
DSC00973,12-Mar-19,36,0,0D,A053,A,8.532,N,
DSC00976,12-Mar-19,36,0,0D,A054,A,7.788,N,
DSC00980,12-Mar-19,36,0,0D,A055,A,6.837,N,
DSC00981,12-Mar-19,36,0,0D,A056,A,7.022,N,
DSC00982,12-Mar-19,36,0,0D,A057,A,8.802,N,
DSC00983,12-Mar-19,36,0,0D,A058,A,7.899,N,
DSC00984,12-Mar-19,36,0,0D,A059,A,8.717,N,
DSC00987,12-Mar-19,36,0,0D,A060,A,8.837,N,
DSC00988,12-Mar-19,36,0,0D,R053,R,7.968,N,
DSC00989,12-Mar-19,36,0,0D,R054,R,7.429,N,
DSC00991,12-Mar-19,36,0,0D,R055,R,8.845,N,
DSC00993,12-Mar-19,36,0,0D,R056,R,7.955,N,
DSC00996,12-Mar-19,36,0,0D,R057,R,7.67,N,
DSC00997,12-Mar-19,36,0,0D,R058,R,8.44,N,
DSC00999,12-Mar-19,36,0,0D,R059,R,8.17,N,
DSC01001,12-Mar-19,36,0,0D,R060,R,7.15,N,
DSC01002,12-Mar-19,36,3,3A,A073,A,7.802,N,
DSC01003,12-Mar-19,36,3,3A,A074,A,8.239,N,
DSC01004,12-Mar-19,36,3,3A,A075,A,8.047,N,
DSC01005,12-Mar-19,36,3,3A,A076,A,8.628,N,
DSC01006,12-Mar-19,36,3,3A,A077,A,8.388,N,
DSC01007,12-Mar-19,36,3,3A,A078,A,7.79,N,
DSC01008,12-Mar-19,36,3,3A,A079,A,7.877,N,
DSC01009,12-Mar-19,36,3,3A,A080,A,8.668,N,
DSC01011,12-Mar-19,36,3,3A,R073,R,9.309,N,
DSC01013,12-Mar-19,36,3,3A,R074,R,8.562,N,
DSC01014,12-Mar-19,36,3,3A,R075,R,7.827,N,
DSC01016,12-Mar-19,36,3,3A,R076,R,7.94,N,
DSC01017,12-Mar-19,36,3,3A,R077,R,7.832,N,
DSC01018,12-Mar-19,36,3,3A,R078,R,8.192,N,
DSC01019,12-Mar-19,36,3,3A,R079,R,8.012,N,
DSC01020,12-Mar-19,36,3,3A,R080,R,7.966,N,
DSC01024,12-Mar-19,36,2,2C,A083,A,7.791,N,
DSC01025,12-Mar-19,36,2,2C,A084,A,7.59,N,
DSC01027,12-Mar-19,36,2,2C,A085,A,9.022,N,
DSC01028,12-Mar-19,36,2,2C,A086,A,8.583,N,
DSC01029,12-Mar-19,36,2,2C,A087,A,8.034,N,
DSC01030,12-Mar-19,36,2,2C,A088,A,8.34,N,
DSC01031,12-Mar-19,36,2,2C,A089,A,7.777,N,
DSC01033,12-Mar-19,36,2,2C,A090,A,8.332,N,
DSC01034,12-Mar-19,36,2,2C,R083,R,8.758,N,
DSC01035,12-Mar-19,36,2,2C,R084,R,7.165,N,
DSC01036,12-Mar-19,36,2,2C,R085,R,8.419,N,
DSC01037,12-Mar-19,36,2,2C,R086,R,8.061,N,
DSC01038,12-Mar-19,36,2,2C,R087,R,8.356,N,
DSC01039,12-Mar-19,36,2,2C,R088,R,7.733,N,
DSC01041,12-Mar-19,36,2,2C,R089,R,7.801,N,
DSC01042,12-Mar-19,36,2,2C,R090,R,6.93,N,
DSC01043,12-Mar-19,36,1,1A,A093,A,7.538,N,
DSC01044,12-Mar-19,36,1,1A,A094,A,7.6,N,
DSC01046,12-Mar-19,36,1,1A,A095,A,7.579,N,
DSC01047,12-Mar-19,36,1,1A,A096,A,8.772,N,
DSC01049,12-Mar-19,36,1,1A,A097,A,7.884,N,
DSC01050,12-Mar-19,36,1,1A,A098,A,7.585,N,
DSC01051,12-Mar-19,36,1,1A,A099,A,7.402,N,
DSC01052,12-Mar-19,36,1,1A,A100,A,8.009,N,
DSC01053,12-Mar-19,36,1,1A,R093,R,7.402,N,
DSC01054,12-Mar-19,36,1,1A,R094,R,7.96,N,
DSC01055,12-Mar-19,36,1,1A,R095,R,7.36,N,
DSC01056,12-Mar-19,36,1,1A,R096,R,7.975,N,
DSC01059,12-Mar-19,36,1,1A,R097,R,8.527,N,
DSC01060,12-Mar-19,36,1,1A,R098,R,7.191,N,
DSC01061,12-Mar-19,36,1,1A,R099,R,7.504,N,
DSC01062,12-Mar-19,36,1,1A,R100,R,8.411,N,
DSC01064,12-Mar-19,36,4,4C,A103,A,8.578,N,
DSC01065,12-Mar-19,36,4,4C,A104,A,8.18,N,
DSC01066,12-Mar-19,36,4,4C,A105,A,7.605,N,
DSC01067,12-Mar-19,36,4,4C,A106,A,7.88,N,
DSC01069,12-Mar-19,36,4,4C,A107,A,7.654,N,
DSC01071,12-Mar-19,36,4,4C,A108,A,7.774,N,
DSC01072,12-Mar-19,36,4,4C,A109,A,7.827,N,
DSC01073,12-Mar-19,36,4,4C,A110,A,8.264,N,
DSC01074,12-Mar-19,36,4,4C,R103,R,7.312,N,
DSC01075,12-Mar-19,36,4,4C,R104,R,8.607,N,
DSC01076,12-Mar-19,36,4,4C,R105,R,7.893,N,
DSC01078,12-Mar-19,36,4,4C,R106,R,8.338,N,
DSC01079,12-Mar-19,36,4,4C,R107,R,7.415,N,
DSC01082,12-Mar-19,36,4,4C,R108,R,8.224,N,
DSC01084,12-Mar-19,36,4,4C,R109,R,8.043,N,
DSC01086,12-Mar-19,36,4,4C,R110,R,8.095,N,
DSC01087,12-Mar-19,36,1,1B,A113,A,8.594,N,
DSC01088,12-Mar-19,36,1,1B,A114,A,7.959,N,
DSC01089,12-Mar-19,36,1,1B,A115,A,8.196,N,
DSC01090,12-Mar-19,36,1,1B,A116,A,7.908,N,
DSC01092,12-Mar-19,36,1,1B,A117,A,9.084,N,
DSC01094,12-Mar-19,36,1,1B,A118,A,8.761,N,
DSC01095,12-Mar-19,36,1,1B,A119,A,8.457,N,
DSC01096,12-Mar-19,36,1,1B,A120,A,7.782,N,
DSC01097,12-Mar-19,36,1,1B,R113,R,8.1,N,
DSC01099,12-Mar-19,36,1,1B,R114,R,7.038,N,
DSC01100,12-Mar-19,36,1,1B,R115,R,8.223,N,
DSC01101,12-Mar-19,36,1,1B,R116,R,7.718,N,
DSC01102,12-Mar-19,36,1,1B,R117,R,8.053,N,
DSC01103,12-Mar-19,36,1,1B,R118,R,7.683,N,
DSC01104,12-Mar-19,36,1,1B,R119,R,8.541,N,
DSC01106,12-Mar-19,36,1,1B,R120,R,8.171,N,
DSC01107,12-Mar-19,36,1,1C,A123,A,7.384,N,
DSC01108,12-Mar-19,36,1,1C,A124,A,8.766,N,
DSC01110,12-Mar-19,36,1,1C,A125,A,7.57,N,
DSC01111,12-Mar-19,36,1,1C,A126,A,7.516,N,
DSC01113,12-Mar-19,36,1,1C,A127,A,8.605,N,
DSC01115,12-Mar-19,36,1,1C,A128,A,7.231,N,
DSC01116,12-Mar-19,36,1,1C,A129,A,6.9,N,
DSC01118,12-Mar-19,36,1,1C,A130,A,6.309,N,
DSC01119,12-Mar-19,36,1,1C,R123,R,7.592,N,
DSC01120,12-Mar-19,36,1,1C,R124,R,8.169,N,
DSC01123,12-Mar-19,36,1,1C,R125,R,8.639,N,
DSC01124,12-Mar-19,36,1,1C,R126,R,8.265,N,
DSC01126,12-Mar-19,36,1,1C,R127,R,7.734,N,
DSC01127,12-Mar-19,36,1,1C,R128,R,8.399,N,
DSC01128,12-Mar-19,36,1,1C,R129,R,7.366,N,
DSC01130,12-Mar-19,36,1,1C,R130,R,7.912,N,
DSC01131,12-Mar-19,36,3,3B,A133,A,7.869,N,
DSC01132,12-Mar-19,36,3,3B,A134,A,7.396,N,
DSC01133,12-Mar-19,36,3,3B,A135,A,8.228,N,
DSC01134,12-Mar-19,36,3,3B,A136,A,7.819,N,
DSC01137,12-Mar-19,36,3,3B,A137,A,7.908,N,
DSC01138,12-Mar-19,36,3,3B,A138,A,7.804,N,
DSC01139,12-Mar-19,36,3,3B,A139,A,8.298,N,
DSC01140,12-Mar-19,36,3,3B,A140,A,7.35,N,
DSC01141,12-Mar-19,36,3,3B,R133,R,8.231,N,
DSC01142,12-Mar-19,36,3,3B,R134,R,9.099,N,
DSC01143,12-Mar-19,36,3,3B,R135,R,8.262,N,
DSC01144,12-Mar-19,36,3,3B,R136,R,8.065,N,
DSC01146,12-Mar-19,36,3,3B,R137,R,7.419,N,
DSC01147,12-Mar-19,36,3,3B,R138,R,7.608,N,
DSC01149,12-Mar-19,36,3,3B,R139,R,7.441,N,
DSC01150,12-Mar-19,36,3,3B,R140,R,8.034,N,
DSC01151,12-Mar-19,36,4,4B,A143,A,8.097,N,
DSC01152,12-Mar-19,36,4,4B,A144,A,7.812,N,
DSC01153,12-Mar-19,36,4,4B,A145,A,7.885,N,
DSC01154,12-Mar-19,36,4,4B,A146,A,8.016,N,
DSC01155,12-Mar-19,36,4,4B,A147,A,8.149,N,
DSC01156,12-Mar-19,36,4,4B,A148,A,8.558,N,
DSC01158,12-Mar-19,36,4,4B,A149,A,8.09,N,
DSC01159,12-Mar-19,36,4,4B,A150,A,9.223,N,
DSC01160,12-Mar-19,36,4,4B,R143,R,9.375,N,
DSC01161,12-Mar-19,36,4,4B,R144,R,8.55,N,
DSC01162,12-Mar-19,36,4,4B,R145,R,NA,NA,photo was cut off mid-abdomen
DSC01163,12-Mar-19,36,4,4B,R146,R,8.466,N,
DSC01164,12-Mar-19,36,4,4B,R147,R,9.036,N,
DSC01165,12-Mar-19,36,4,4B,R148,R,8.483,N,
DSC01166,12-Mar-19,36,4,4B,R149,R,7.758,N,
DSC01167,12-Mar-19,36,4,4B,R150,R,8.788,N,
DSC01168,13-Mar-19,35,0,0B,A153,A,9.159,N,
DSC01171,13-Mar-19,35,0,0B,A154,A,8.339,N,
DSC01173,13-Mar-19,35,0,0B,A155,A,9.02,N,
DSC01174,13-Mar-19,35,0,0B,A156,A,9.405,N,
DSC01176,13-Mar-19,35,0,0B,A157,A,8.953,N,
DSC01179,13-Mar-19,35,0,0B,A158,A,8.444,N,
DSC01180,13-Mar-19,35,0,0B,A159,A,8.316,N,
DSC01181,13-Mar-19,35,0,0B,A160,A,9.255,N,
DSC01183,13-Mar-19,35,0,0B,R153,R,8.15,N,
DSC01185,13-Mar-19,35,0,0B,R154,R,8.842,N,
DSC01187,13-Mar-19,35,0,0B,R155,R,8.455,N,
DSC01188,13-Mar-19,35,0,0B,R156,R,10.407,N,
DSC01192,13-Mar-19,35,0,0B,R157,R,9.049,N,
DSC01193,13-Mar-19,35,0,0B,R158,R,8.902,N,
DSC01194,13-Mar-19,35,0,0B,R159,R,8.551,N,
DSC01195,13-Mar-19,35,0,0B,R160,R,8.419,N,
DSC01196,13-Mar-19,35,3,3C,A163,A,8.924,N,
DSC01197,13-Mar-19,35,3,3C,A164,A,8.629,N,
DSC01198,13-Mar-19,35,3,3C,A165,A,9.717,N,
DSC01199,13-Mar-19,35,3,3C,A166,A,7.831,N,
DSC01202,13-Mar-19,35,3,3C,A167,A,8.097,N,
DSC01203,13-Mar-19,35,3,3C,A168,A,8.4,N,
DSC01206,13-Mar-19,35,3,3C,A169,A,8.212,N,
DSC01207,13-Mar-19,35,3,3C,A170,A,8.674,N,
DSC01208,13-Mar-19,35,3,3C,R163,R,8.123,N,
DSC01209,13-Mar-19,35,3,3C,R164,R,9.195,N,
DSC01210,13-Mar-19,35,3,3C,R165,R,8.581,N,
DSC01212,13-Mar-19,35,3,3C,R166,R,9.228,N,
DSC01214,13-Mar-19,35,3,3C,R167,R,8.842,N,
DSC01215,13-Mar-19,35,3,3C,R168,R,8.908,N,
DSC01216,13-Mar-19,35,3,3C,R169,R,8.399,N,
DSC01217,13-Mar-19,35,3,3C,R170,R,9.356,N,
DSC01218,13-Mar-19,35,4,4A,A173,A,8.208,N,
DSC01219,13-Mar-19,35,4,4A,A174,A,8.194,N,
DSC01221,13-Mar-19,35,4,4A,A175,A,8.472,N,
DSC01222,13-Mar-19,35,4,4A,A176,A,8.001,N,
DSC01223,13-Mar-19,35,4,4A,A177,A,7.753,N,
DSC01224,13-Mar-19,35,4,4A,A178,A,7.694,N,
DSC01225,13-Mar-19,35,4,4A,A179,A,8.297,N,
DSC01226,13-Mar-19,35,4,4A,A180,A,8.399,N,
DSC01227,13-Mar-19,35,4,4A,R173,R,9.061,N,
DSC01228,13-Mar-19,35,4,4A,R174,R,8.82,N,
DSC01229,13-Mar-19,35,4,4A,R175,R,8.108,N,
DSC01231,13-Mar-19,35,4,4A,R176,R,8.086,N,
DSC01233,13-Mar-19,35,4,4A,R177,R,8.582,N,
DSC01235,13-Mar-19,35,4,4A,R178,R,7.53,N,
DSC01237,13-Mar-19,35,4,4A,R179,R,8.803,N,
DSC01239,13-Mar-19,35,4,4A,R180,R,7.844,N,
DSC01241,13-Mar-19,35,2,2D,A183,A,8.698,N,
DSC01242,13-Mar-19,35,2,2D,A184,A,9.995,N,
DSC01243,13-Mar-19,35,2,2D,A185,A,8.694,N,
DSC01244,13-Mar-19,35,2,2D,A186,A,8.127,N,
DSC01245,13-Mar-19,35,2,2D,A187,A,7.969,N,
DSC01246,13-Mar-19,35,2,2D,A188,A,8.445,N,
DSC01247,13-Mar-19,35,2,2D,A189,A,8.967,N,
DSC01250,13-Mar-19,35,2,2D,A190,A,8.428,N,
DSC01252,13-Mar-19,35,2,2D,R183,R,7.874,N,
DSC01253,13-Mar-19,35,2,2D,R184,R,8.213,N,
DSC01254,13-Mar-19,35,2,2D,R185,R,9.749,N,
DSC01256,13-Mar-19,35,2,2D,R186,R,8.702,N,
DSC01257,13-Mar-19,35,2,2D,R187,R,7.384,N,
DSC01258,13-Mar-19,35,2,2D,R188,R,8.817,N,
DSC01259,13-Mar-19,35,2,2D,R189,R,8.281,N,
DSC01260,13-Mar-19,35,2,2D,R190,R,7.968,N,
DSC01261,13-Mar-19,35,1,1D,A193,A,8.526,N,
DSC01262,13-Mar-19,35,1,1D,A194,A,9.04,N,
DSC01263,13-Mar-19,35,1,1D,A195,A,7.545,N,
DSC01267,13-Mar-19,35,1,1D,A196,A,8.507,N,
DSC01268,13-Mar-19,35,1,1D,A197,A,9.078,N,
DSC01269,13-Mar-19,35,1,1D,A198,A,8.082,N,
DSC01270,13-Mar-19,35,1,1D,A199,A,8.039,N,
DSC01271,13-Mar-19,35,1,1D,A200,A,8.368,N,
DSC01272,13-Mar-19,35,1,1D,R193,R,7.114,N,
DSC01274,13-Mar-19,35,1,1D,R194,R,8.496,N,
DSC01275,13-Mar-19,35,1,1D,R195,R,8.07,N,
DSC01276,13-Mar-19,35,1,1D,R196,R,7.866,N,
DSC01277,13-Mar-19,35,1,1D,R197,R,8.055,N,
DSC01278,13-Mar-19,35,1,1D,R198,R,8.419,N,
DSC01280,13-Mar-19,35,1,1D,R199,R,7.809,N,
DSC01281,13-Mar-19,35,1,1D,R200,R,8.304,N,
